id,comments
1643655501841063937,"argument for why to keep going forward with ai: if china came out with chatgpt, yuddite would be arguing for nuking them now, whereas today the bar is gpt5 or greater! https://t.co/532fOFpA6f"
1643437607098155008,@passionfingerz @shorttimelines @ESYudkowsky here are my results: https://t.co/cJzPQoDzUL
1643087560124817408,"People are not talking enough about the benefits to the open, empirical approach to AI alignment research https://t.co/oxDHc1A02b"
1643074329972989952,thoughts on ai safety https://t.co/WWzBVeYNoF
1641602017058779136,"don’t worry officer this intelligence is only trained on decentralized, organic, free range gpus,

all our parameters are grass touched"
1641361934699356161,"people are saying that the AI doomerism isn't aligning along traditional ideological tribes, but, that's not quite true.

it is definitely a thing where it is wordcels on one side, and shape rotators on the other"
1641355318537105409,"i was in the e/acc space tonight and somebody asked “why is the return to investors, capped?” with regards to OpenAI

the hosts, stumped, couldn’t come up with anything better than virtue signaling.

ridiculous! i will tell you why. OpenAI genuinely believes in the upside of… https://t.co/HNlZRXmGCd"
1641315972861808645,"Stoke's Law: ""as an online discussion of AI safety grows longer, the probability of a comparison to nuclear weapons approaches 1."" (ht @jonst0kes ofc)

https://t.co/EHGVES8owI https://t.co/6JT3CRI790 https://t.co/43sPrZd6Jf"
1641245591513743360,find myself nodding to this https://t.co/WSxXJ5zOq3 https://t.co/BuGctFrm5H
1640090570726178817,"of course people are doing this, and tbh i have been on the side of ""let's try things and see what happens,"" but, I do think we're going to have to be pretty productive in terms of spinning up AI antibodies

https://t.co/dQMNQKUQaQ https://t.co/3joshkPFyk"
1639424642816577536,who could have foreseen correlated disasters? https://t.co/tHAzWaznuF
1638990572395589635,pandora’s wager
1638412095661412352,"@APompliano @balajis this is a tour du force by @balajis; while i would certain remain on the counter party side of his bet, i’m rather in agreement with the analysis he puts forward, great interview https://t.co/J338XJwHNA"
1637177360243113984,@elonmusk @ESYudkowsky https://t.co/2X0PfRE0y5
1643657666873671680,One thing the doomers fail to consider is that the *difficulty* of making further improvements hits a vertical asymptote as you approach fundamental limits. So we need ASI just to keep things improving at a *moderate* rate. There’s no danger that rates of improvement go vertical.
1643315924404146176,"@jradoff They literally have an amateurish, far too simplistic view of it!! The practical limits are much closer than they realize, and the engineering issues of adiabatic/reversible are far more difficult than they realize! I know b/c I’ve spent my career working on this, not blogging!"
1643306945573720064,"I remember when people were speculating that Dall-E had its own internal language that explained some of the weird text that it wrote.  Well, GPT-4 definitely does, it looks like. https://t.co/MqxSIaoRpE"
1643273846831878144,"What’s especially hilarious is that these people think an intelligence explosion is possible when we’re already starting to grind up against the thermal noise limit, and literally almost nobody is investing in the only concept (reversible computing) that might let us get past it."
1642565407423987712,"@IntuitMachine This is exactly what OpenAI is doing. Since they haven’t released their base model of GPT-4, but only the RLHF’d version (masked Shoggoth), there’s no way for the world to know its true capabilities."
1642177627300691968,AGI seems about to bust outta the chest of the open-source community https://t.co/DzZjjfEEnd
1642036802814111744,"@IntuitMachine @Slplss_In_Japan Imo we definitely need these things to have more agency, so they can tackle more complex tasks effectively."
1642032983485071360,This looks important https://t.co/8CTjONBA6x
1641936309928464385,"Yet, the few people in the world who are seriously studying this topic struggle to get funding. Why is this?"
1641936044315770881,It’s incredible to me that a larger amount of brainpower isn’t dedicated to understanding the physical limits of computing. The question of how great intelligence efficiency and density can get critically depends on this.
1641116658260492290,"I think a much better idea would be to call for open-sourcing of all AI tech. The biggest danger here is the asymmetrical advantage of leading firms, and the possibility that this could lead to overwhelming dominance and an AGI singleton that could quite easily become corrupted. https://t.co/Yv5UX1ZJsP"
1640901723119144963,Interesting predictions from an OpenAI researcher https://t.co/Vgo2RwmF6X
1639856880708366336,"@sama - This was a good interview, but I have to say, pls release the base GPT-4 to the research community (at least!) sooner rather than later!! Even if it is hard to use, if thousands more people poke at it, they are sure to discover very important new things to know about it!"
1639234909003984897,"I want an AI research tool where I can just say to it, “Please gather, read and summarize all of the papers you can find on topic X, index them via embeddings, summarize the summaries hierarchically to condense them and then write an up-to-date review of the state of the field.”"
1638883484335841280,So wait I could build a system capable of running a model supposedly rivaling PaLM (8bit LLaMA 65B) for less than the cost of a car? 🤔 https://t.co/wFPgjerUUO
1638610252487888896,"@harmlessai Yeah imo all the fearmongering about “safety” by leading AI firms is ultimately just a cynical excuse to build moats. Regulatory capture / crony capitalism is the end goal. Even if not consciously, that’s what will end up happening."
1642982815989112832,"GPT-4 lovers: SudoLang v1.0.5 is here.

SudoLang is a powerful natural-language constraint-based pseudocode programming language for GPT-4+ that give your GPT-4 prompts superpowers.

https://t.co/KcNM8kq6TZ"
1642802032296992768,3) We need to articulate the intersection of abstract AGI theory with everyday human life and human-world practical tasks with sufficient clarity that only a tiny minority of AI experts will be confused enough to answer a question like this with YES ...
1642802029071601665,"1)  Well holy fukkazoly, I have to say I'm surprised  by these results.   Yah it's unscientific but ... perplexed that half my self-described AI expert followers think GPT-n systems w/o big additions could yield HLAGI.   OMG.  Nooo wayyy.  Theory of HLAGI urgently needed https://t.co/IDuQmvnM46"
1642323932153004032,David Brin's very clear minded view on the recent absurdist petition to pause work on GPT-5 and similar... https://t.co/RfoGfKKn2b
1642032533943758850,@primalpoly @archerships @GaryMarcus Yes we should invest more in longevity research.   However it's pretty clear that a human-level AGI connected directly w/ ML and bioinformatics software and robotized lab equipment  -- and guided by human experts at the start -- could cure aging far faster than human scientists.
1642030348040273921,"@GaryMarcus @ESYudkowsky The US pausing all AI R&amp;D for 6 months would not give China enough time to catch up in AI.   However, I can't see what would happen in 6 months (esp. w/o AI R&amp;D) that would make the FLI and their chums OK with restarting fast-paced advanced AI research 6 months later."
1641986337879511040,"Will GPT-n systems (or similar), w/o addition of major new ideas/components not used in GPT-4, ever reach the general intelligence, logic and creativity level of top human scientists, artists and leaders?"
1641498066904842241,"@bramiozo Upside of beneficial AGI is obvious; as IJ Good said in 1965 ""the first ultraintelligent machine is the last invention humanity needs to make"".    @sama and I seem to agree here   Cure aging/death &amp; mental illness, make strong nanotech work, mind-uploading, cheap food/energy etc."
1641219163023872000,"14) The correct reaction to Big Tech making waves with centralized data-bound fake-AGI systems is not to make Big Tech pause, but rather to take up the challenge and move FASTER than Big Tech toward democratic/decentralized/beneficial real AGI systems @SingularityNET"
1641219158498222081,"13) We should be proactionary not precautionary, and we should couple this proaction with a focus on open, democratic and decentralized systems that are applied to applications of broad human benefit."
1641219154152927232,"12) We are at the eve of the Singularity, folks.   Indeed we don't want to be eaten by malevolent AGI or turned into gray goo.  But the tech that leads us to Singularity is going to be weird and complex with hard-to-analyze pluses and minuses all along the way."
1641219145080664064,"10) What might go wrong: China overtakes the US in big-LLM development (because they are not slowing down, and are not shy about applying their best AI tech to military and espionage)"
1641219137363140608,8) So what would go wrong if the big Western tech companies actually paused big-LLM R&amp;D ?  Let's see...
1641219133521166337,7) But you don't get all fearful and pause exciting new technologies with complex mixes of good and bad aspects and no immediate huge deadly threat associated with them.
1641219129645633537,"6) Similarly yeah you take action against an LLM that demonstrably turns everyone who talks to it into murderous psychopaths, or a 3D printer whose express purpose is to cheaply 3D print bombs out of ordinary kitchen ingredients..."
1641217397901369344,"1) A bit more on this call for a ""pause"" in development of big LLMs ....  BTW I know quite a lot of AI experts who are opposed to the notion but see no upside in projecting their views publicly...."
1640975832616427526,"@GaryMarcus @elonmusk @tegmark @Grady_Booch @AndrewYang @tristanharris We should be massively funding open decentralized multi-paradigm proto-AGI (including but not limited to LLMs), not slowing down ... Beneficial AGI is humanity's best hope and in spite of its corporate closed narrow aspects GPT-4 is helping us push there"
1640973993657368582,"@GaryMarcus @elonmusk @tegmark @Grady_Booch @AndrewYang @tristanharris To be clear, I do think there are some situations where  AGI or even narrow AI dev would best be paused while safety considerations are pursued.   But I don't feel this is such a case, I would want to see a far stronger argument than seems to exist here..."
1640959985692835840,"@GaryMarcus @elonmusk @tegmark @Grady_Booch @AndrewYang @tristanharris 3) Note, I am a major AI optimist and I believe AGIs (with LLMs as a component) are likely to bring an era of glorious abundance, but I do worry about chaos and suffering in the developing world in the transitional period. Don't see how a pause in LLM training will help w/ this."
1640959201584517120,"@GaryMarcus @elonmusk @tegmark @Grady_Booch @AndrewYang @tristanharris 1) The real human damage most likely to happen as LLMs advance and then AGIs start to take their place is in the developing world, where UBI for folks whose jobs are eliminated by AI will be harder to come by.   Better to have a petition for global UBI as a preventative measure."
1640958289092677633,"@GaryMarcus @elonmusk @tegmark @Grady_Booch @AndrewYang @tristanharris More powerful LLMs will be more useful as components of multi-paradigm AGI systems, which if built with compassion and wisdom and proper cognitive architecture give humanity its best hope of finding an amazing positive future."
1640496903136882689,"9) .. and compassion also must be instilled in the initial learning/experience of the AGI system, via having the system grow up doing things involving I-Thou interactions and giving lots of opportunities to exercise compassion..."
1640496901333323777,"8) I don't think super-compassion is automatically going to be there in any HLAGI or super-human AGI architecture though.  I think it needs to be instilled in the architecture of the system, not only in the goal system but in the initial assemblage of cognitive components ..."
1640496899777265664,7) By creating AGI systems with ability &amp; inclination to simulate other minds and analogize between properties of other minds and themselves -- we can create powerful empathy machines with many fewer perversities and limitations to their empathy than we see among humans....
1640496898082762752,"6) I believe we can engineer machines that are supercompassionate as well as superintelilgent relative to humans, and that they don't need to come by their compassion the same way that humans do..."
1640496896224665605,"5)  However I think/feel that compassion and empathy are reflective of universal aspects of mind, universe and existence ... and can be manifested in engineered AGI systems in ways that are different from  the way they manifest themselves in humans and other biological organisms"
1640496892495945728,"3) It's true that humans come by their compassion and empathy in routes deeply rooted in their biology, which is a route that will be hard for engineered AGIs built on anything resembling current hardware fabrics.."
1640496891128602624,"2) It's a mistake to over-anthropomorphize or over-biomorphize AGIs, and also a mistake to think about AGIs too closely by reference to current deployed commercial AI systems ....  Self-organized minds seeded by engineered AGI systems will be quite different"
1640496889283084288,"1) Compassion of (maybe near) future AGIs toward humans: This is certainly an area our science does not yet cover effectively, so we are all going in some measure on intuition.  So let me share some of mine..."
1639513739824336896,"@elonmusk Fortunately to get real human-level AGI one will need strong subsystems for advanced reasoning &amp; evolutionary creativity integrated with LLMs, &amp; while OpenAI is not going there, some of us more dedicated to benevolence and decentralization totally ARE @SingularityNET  @True_AGI"
1639380178521718786,"@WillyS0L Ability to make creative leaps beyond its training data, and then assess which of these leaps seems most likely valuable toward given goals.  Doing this clearly and plainly but unsystematically would be a real""spark of AGI.""  We'll be there soon."
1639379640568647680,"The  main issue GPT4's ""allegedly AGI-ish"" properties raises: If this sort of fairly funky emergence comes from scaling up a ""transformer NN ++"", what kind of amazing wild-ass emergence will we see when we scale up AI architectures w/ more recurrence, reflection and abstraction?"
1639378920465395712,"I don't think GPT4 shows ""sparks of AGI"" in a very useful sense (though given the lack of agreed definition of AGI it's not a totally insane statement).   I do think it shows interesting aspects of emergence, which did not emerge in similar systems at smaller scale.  It's cool."
1639378492562489344,"@Trrstnn Non-AGI systems can possibly obsolete 80% of human jobs, and do tremendous good or harm for the world.  However they cannot on their own lead to an Intelligence Explosion ... to get there we need systems smart enough to do highly-original cutting-edge engineering &amp; science"
1639170933536747526,"Looking at how GPT4 works, you'd be crazy to think it could be taught or improved or extended to be a true human level AGI.   Looking at what it can do, you'd be crazy not to see that w some human creativity it's got to be usable to greatly accelerate progress to true HLAGI ...."
1638901414108835840,"And , the fact that we currently  lack the right language to concisely, compellingly and nontechnically describe the basic limitations of LLM type architectures, does not make them any less real... Our languages did not evolve to discuss such creations!"
1638900793532137472,"I have the same sense, however strong limitations in terms of 1) powerfully inventive creativity, 2) dealing with highly novel situations, 3) sustained chains of careful original reasoning, will remain for LLM type architectures https://t.co/zWXnOpyi7n"
1638678451962912769,"But don't worry too much -- just enough.   LLMs ain't AGI and can't be upgraded into AGI, though they can be components of AGI systems with real cognitive architectures and reasoning/grounding ability.   What's key is that when actual AGIs are rolled out they're doing good works."
1638678447504642048,"I used to say the main commercial apps of AI were Selling, Killing, Spying and Crooked Gambling (aka Wall St.)  (not necc. in that order).   Now I'll add Bullshitting and Hallucinating to the list, thx OpenAI!   Thus we shape the first AGI minds, what could possibly go wrong?"
1638615510991470592,"And when we do roll out Decentralized LLMs, versions that use neural-symbolic reasoning to ground statements and respect truth (in its various subtle dimensions) will not be too far behind ;) https://t.co/sSLPeCVP4W"
1637487302346788865,22) .. OK OK even perhaps some sort of formal neural nets concoction with way more architectural richness and recurrence than GPTn and some cleverer learning algo than backprop.   OpenCog is just the route I best understand...
1637487285049368577,"20) -- oh yeah, and we need to ensure these AGIs don't fall under the control of centralized authorities with narrow self-centered goals, like national governments or large corporations -- cf @SingularityNET @nunet_global  @Hypercycle_AI etc. etc."
1637487279689154562,"19) And yes of course the AGIs must build and grow and evolve their own truths open-endedly, but let's have them do this based on a rich intuitive feel for human truth in its various wild dimensions"
1637487273980641281,"18) We get to AGIs that understand deeper human truths by building AGI systems that embrace the breadth and richness of human intelligence, and raising their minds up in a variety of mind and heart building social situations, including those involving doing good works --"
1637487256536592392,16)  AGIs in human-like robots and avatars entering into various meaningful situations will come to understand what it is to be a human world and mind and heart building with other humans.
1637487247820767237,15) So we need a cognitive architecture that is richly capable of compassion and cooperation.  Check.  Simulation and inference are the key aspects of theory of mind.
1637487243119017985,"14) What we want is for it to enter into compassionate collaboratory relationships with humans, so as human-level AGI is achieved and passed humans can open-endedly evolve in sync with human-level subnetworks of the super-AGI mind."
1637487235061694465,13) But what's the guarantee this system will stick to its initial goals as it evolves?  On the contrary we have a near-guarantee it will not.
1637487227172208643,"12) The evolutionary self-organization not the goals are the top level.  Open-ended intelligence FTW. We need a cognitive architecture that supports flexible goal-pursuit but doesn't deify it, allows it to live and flourish in a broader context."
1637487218645139456,"11) But wait, don't we need goals and rewards?  Yes, sort of.   A human-level human-like mind crystallizes its own goals as it develops, in resonance with its environment and the other agents therein, and abandons and/or morphs these goals as it grows."
1637487198839664643,"8) To do fitness evaluation for evolutionary learning in a practical way we need world-simulations.  Wait, we need these for inference too, for world-modeling, which GPT4 still mostly sucks at, as will GPTn."
1637487178014941186,"5) Yes, it's possible to do evaluation of soundness/validity/quality using neural methods, but this route is not nearly so clear as the route of putting symbolic inference engines in this role, and there's no reason to believe NNs will outperform symbolic systems here"
1637487169127211010,"4) To evaluate LLM hypotheses for validity, LLM arguments for soundness, or LLM artworks for quality, requires something quite different -- probabilistic/fuzzy symbolic inference engines provide one candidate system-type that can do this sort of thing"
1637351893637668864,"4) Weaver notes that stablecoins achieve stability only via centralization and reliance on fiat reserves -- yes, but Cogito solves this, with tracercoins that are stabler than fiat and don't need banks. @CogitoProtocol"
1637351888768122880,"3) Weaver notes the cost and inefficiency of blockchain networks -- yes but Hypercycle's ledgerless design, TODA + proof of reputation, solves this @Hypercycle_AI"
1637008336691531776,"@primalpoly @AngeloDalli @GaryMarcus ""Alignment"" is neither well posed nor solvable.  Humanity is not aligned with itself and this is a feature not a bug.  We must go full speed ahead on creating loving compassionate AGI before humanity wrecks itself and the planet with other tech and general foolishness/perversity."
1640263474935726081,@arul_1111i It’s worth noting that a lot of this (needing to focus on devs etc) was stuff many of us tried to push for years (i have a comprehensive 15page doc on how to bring in developers from early 2020 I wrote) and we were all told to sit down and focus on cbdc/drones/ev races etc
1643815259466256385,"Imagine VideoGPT, a future version of ChatGPT that generates scripted video in response to human prompts and allows video input. 

Things get weird: 

- Learn anything
- Custom movies made for you
- Talk to VideoGPT on Zoom
- VideoGPT joins Zoom as you
- VideoGPT as babysitter"
1643680688003239936,"This thread is fascinating. LLMs with RLHF are incredibly effective problem solvers we can assign tasks to. From a practical perspective, if most humans can’t tell whether GPT-4 is memorizing vs. reasoning, does the distinction even matter? https://t.co/TqpGT005t3"
1643463805433974785,"If you still think ChatGPT is just AI hype, try to pay attention to what’s happening when people approach GPT-4 with an open mind. 

Here’s an example from today: https://t.co/F96niBsegW"
1643391320361402369,"@OfficialLoganK Maybe @OpenAI should probably have a “prompt defaults” settings page where customers can dial up or down various settings like this.  For now, you can just ask it in the initial prompt to not to bother with extraneous filler text like that when you start a new session."
1642777609426853888,This LLM survey paper is worth reading: https://t.co/7SDx1pAvQb https://t.co/adKzFmemdF
1642721632144990210,"🤯New paper: “Self-Refine: Iterative Refinement with Self-Feedback” shows LLMs can improve themselves without humans.

“SELF-REFINE is unique in that it operates within a single LLM, requiring neither additional training data nor reinforcement learning.” https://t.co/8Coo3T66kZ https://t.co/ubNWDCQHS9"
1642681106532294658,"If you prompt GPT-4 to write some code, the response often leads to a multi-prompt conversation where you ask it to debug errors or make improvements until the code works as desired. Now imagine removing yourself from the loop by asking GPT-4 to talk to itself internally instead. https://t.co/dhHCUceswf https://t.co/b9ukcQT9V1"
1642277389987352576,"“Reason is only as good as the information we give it”

We will see many highly specialized knowledge bases plugged into GPT-4, increasing the sophistication and accuracy of answers. The constraints of factual grounding won’t reduce creative responses, but instead improve them. https://t.co/96HM8Cy6vr https://t.co/aFkXCvXhL2"
1642109341502435332,"This is similar to what humans do spontaneously when reading, thinking about a topic, or making a decision. We ask ourselves questions, generate likely answers, predict consequences, evaluate and debate internally, then generate more questions in an iterative fan out/in process. https://t.co/BrK7253Hq4"
1642102273462652929,Don’t assume GPT-4 can’t do something. Try giving it more challenging requests. Listen to any objections it makes and help it find ways to work around them: https://t.co/7xMmbGrRui
1641980648356454402,"If I’m experiencing this, imagine what it feels like to be working on GPT-6 at @OpenAI"
1641356685121032198,"In this thread, Jim asks GPT-4 to infer the cause of its ability to infer causes. GPT-4 responds with a 5-bullet *self-reflection* describing a plausible explanation. https://t.co/k6ZZ7245y6"
1640821207070277632,"@nirsd I’m picturing a default GPT-4 setting that translates any prompt you type into higher IQ language, similar to a “turbo button” on a video game controller. Alternatively, it could ask follow up questions: “I could answer that, but what is the real problem you are trying to solve?”"
1640759969397215232,I’ve talked to otherwise smart people who dismiss GPT-4 because they tried it briefly with vague prompts and it gave them uninteresting responses. They appear to be asking the wrong questions.
1640758062016507905,"GPT-4 appears to do a kind of “social mirroring”. If you give it an intelligent question about an unsolved problem a PhD in computational neuroscience might ask, you get a more intelligent answer. A similar question in the style of a 5th grader gets a 5th grade level answer."
1640754968654385152,There’s probably a deeper cost to lobotomizing a LLM like this. Having an expansive world-model that includes seemingly unrelated domains of knowledge likely helps GPT-4 “connect the dots” and reason in unexpected ways that humans haven’t considered. https://t.co/umGnSDJLID
1640440432902692864,"Feeling a combination of anxiety, excitement, and exhaustion lately as you hear about GPT-4?

That’s probably your subconscious working overtime to update your own world model. The landscape changed, and an avalanche of new opportunities and potential dangers from AGI is near. https://t.co/hQL3F0M3pR"
1640171946968231936,I’m surprised how many people are not paying attention to what’s happening right now with GPT-4 https://t.co/lDxS34Naie
1639920213595684865,Things will get weird when everyone starts using ChatGPT or other LLMs both to write their emails and to think up responses to send. GPT-4’s email replies will essentially be predictions based on predictions of its likely own responses. That’s mind reading.
1639901202673725444,"So many implications and likely consequences of GPT-4 running through my head right now.

Here’s one: telepathy. 😳"
1639894112307679232,Stop what you’re doing and read this entire post on the GPT-4 code interpreter plugin. This is completely bonkers and is going to change everything. https://t.co/0VHHb47dAQ
1639841969487888384,“model vampire attack” has now entered the AI lexicon https://t.co/thWZ7Keqf2
1639066330300284928,GPT-4 is one of those rare “drop everything” moments where science suddenly takes a giant leap forward. I don’t think most people outside of machine learning understand how significant this is. https://t.co/UQDglUBPrz
1638358062993149954,Great to see people move beyond static QA and experiment with interactive problem solving like this: https://t.co/PuazG4Jb2q
1637893075673706497,"If you think things are wild right now, imagine what will happen when GPT-4 style models are trained on the entire corpus of the world’s social media posts from Facebook, Instagram, TikTok, and other social media."
1637296776939200512,@awadallah @OpenAI You didn’t say “only”? it’s not the best at inferring intent or satisfying implied constraints when asked unusual questions.
1637277965192134658,"Apps powered by GPT-4 like models that run entirely on your local laptop, fine-tuned on all your personal files, emails, and other communication could boost US productivity to levels we can’t comprehend right now."
1636961358565756931,"I’m seeing countless threads like this about GPT-4, we are experiencing a seismic shift https://t.co/wgqApxyjFh"
1641469817994584066,"Given all the focus on responsible deployment, it seems like a great reminder to flag the wonderful event organized by @ShannonVallor with myself, @katecrawford, Stuart Russell, and Pascale Fung on the Future of AI.

https://t.co/VpNfDw90wY https://t.co/n5bzq4ifuD"
1640106683350360065,"Agreed! Large AI systems are sociotechnical and thus the decisions made (or not) in their design will have reverberations within society. These two papers are reasonable starting points on how we begin to understand the effects.

https://t.co/MVf9JhhOwp
https://t.co/WGvt7Gb0cS https://t.co/knlkPRPNOB"
